timestamp satellite flux observed_flux electron_correction electron_contaminaton energy
"2021-04-07 23:59:00" 16 5.305857087023469e-09 9.82703163288079e-09 4.521174101768111e-09 False 0.05-0.4nm
"2021-04-07 23:59:00" 16 1.4807276293993251e-08 4.296150279969879e-08 2.8154227393883947e-08 True 0.1-0.8nm
"2021-04-08 00:00:00" 16 5.590775398189862e-09 1.008966332705085e-08 4.498887484771785e-09 False 0.05-0.4nm
"2021-04-08 00:00:00" 16 1.401464810868446e-08 4.260020958213317e-08 2.8585560585270283e-08 True 0.1-0.8nm
"2021-04-08 00:01:00" 16 6.423789056242413e-09 1.084773071369227e-08 4.423942101539069e-09 False 0.05-0.4nm
"2021-04-08 00:01:00" 16 1.432315333005362e-08 4.198902558982809e-08 2.766587137159604e-08 True 0.1-0.8nm
"2021-04-08 00:02:00" 16 4.924966212627169e-09 9.478883455926734e-09 4.553917243299566e-09 False 0.05-0.4nm
"2021-04-08 00:02:00" 16 1.46708378778726e-08 4.258983921090475e-08 2.7919002221210573e-08 True 0.1-0.8nm
"2021-04-08 00:03:00" 16 5.809018155389367e-09 1.039813835035374e-08 4.58912019496438e-09 False 0.05-0.4nm
"2021-04-08 00:03:00" 16 1.661967274912967e-08 4.4617394223678275e-08 2.799771969819176e-08 True 0.1-0.8nm
"2021-04-08 00:04:00" 16 4.544460807665018e-09 9.231031050660476e-09 4.686570242995458e-09 True 0.05-0.4nm
"2021-04-08 00:04:00" 16 1.292573781341843e-08 4.039499401642388e-08 2.7469257091183863e-08 True 0.1-0.8nm
"2021-04-08 00:05:00" 16 5.531028079985845e-09 9.912442422432832e-09 4.3814147865361974e-09 False 0.05-0.4nm
"2021-04-08 00:05:00" 16 1.239641811423553e-08 3.99113915250382e-08 2.751497163444583e-08 True 0.1-0.8nm
"2021-04-08 00:06:00" 16 4.254547381066231e-09 8.906890336390916e-09 4.652342955324684e-09 True 0.05-0.4nm
"2021-04-08 00:06:00" 16 1.339197819305582e-08 4.137011089255793e-08 2.797813358768053e-08 True 0.1-0.8nm
"2021-04-08 00:07:00" 16 4.927193320014567e-09 9.337878026371982e-09 4.410684262268205e-09 False 0.05-0.4nm
"2021-04-08 00:07:00" 16 1.162959328837587e-08 3.91508407915353e-08 2.752124572680259e-08 True 0.1-0.8nm
"2021-04-08 00:08:00" 16 5.578410622320007e-09 9.861332195271189e-09 4.282921572951182e-09 False 0.05-0.4nm
"2021-04-08 00:08:00" 16 1.322081644161699e-08 4.056720825929005e-08 2.7346391817673063e-08 True 0.1-0.8nm
"2021-04-08 00:09:00" 16 4.457132440904843e-09 8.786691374496058e-09 4.3295589335912155e-09 False 0.05-0.4nm
"2021-04-08 00:09:00" 16 1.310196040549271e-08 4.016268206896711e-08 2.7060723439831232e-08 True 0.1-0.8nm
"2021-04-08 00:10:00" 16 6.8404268915855945e-09 1.113991476842102e-08 4.299487876835428e-09 False 0.05-0.4nm
"2021-04-08 00:10:00" 16 1.4466817965796961e-08 4.124393981896901e-08 2.6777120964993618e-08 True 0.1-0.8nm
"2021-04-08 00:11:00" 16 3.4535543314007104e-09 7.581569150261203e-09 4.128014818860493e-09 True 0.05-0.4nm
"2021-04-08 00:11:00" 16 1.279971861833928e-08 3.9015350949966894e-08 2.6215634107984442e-08 True 0.1-0.8nm
"2021-04-08 00:12:00" 16 3.5495058003931494e-09 7.657977363351165e-09 4.108471340913411e-09 True 0.05-0.4nm
"2021-04-08 00:12:00" 16 1.346402722646189e-08 3.973390505507268e-08 2.6269878716789198e-08 True 0.1-0.8nm
"2021-04-08 00:13:00" 16 3.900533673828477e-09 8.21315726540206e-09 4.3126231474843735e-09 True 0.05-0.4nm
"2021-04-08 00:13:00" 16 1.396294813105214e-08 4.015319632344472e-08 2.619024641603573e-08 True 0.1-0.8nm
"2021-04-08 00:14:00" 16 2.733647308517106e-09 6.973618127403825e-09 4.239970596842113e-09 True 0.05-0.4nm
"2021-04-08 00:14:00" 16 1.2916032687826371e-08 3.867461728646049e-08 2.5758584598634112e-08 True 0.1-0.8nm
"2021-04-08 00:15:00" 16 4.845206458270468e-09 9.07976005493083e-09 4.234554040749572e-09 False 0.05-0.4nm
"2021-04-08 00:15:00" 16 1.381060243943466e-08 3.933025993774208e-08 2.551965927466426e-08 True 0.1-0.8nm
"2021-04-08 00:16:00" 16 5.263065538940737e-09 9.426894820308007e-09 4.163829281367271e-09 False 0.05-0.4nm
"2021-04-08 00:16:00" 16 1.457247655878291e-08 4.027427280561824e-08 2.570179624683533e-08 True 0.1-0.8nm
"2021-04-08 00:17:00" 16 4.277434406674274e-09 8.45202929866673e-09 4.174594891992456e-09 False 0.05-0.4nm
"2021-04-08 00:17:00" 16 1.5196922831250962e-08 4.062836467255693e-08 2.5431443617662798e-08 True 0.1-0.8nm
"2021-04-08 00:18:00" 16 5.019881843537632e-09 9.29576771113716e-09 4.275885867599527e-09 False 0.05-0.4nm
"2021-04-08 00:18:00" 16 1.60310769103944e-08 4.151719679157395e-08 2.5486121657536377e-08 True 0.1-0.8nm
"2021-04-08 00:19:00" 16 3.860773478692181e-09 7.983025795965661e-09 4.122252317273478e-09 True 0.05-0.4nm
"2021-04-08 00:19:00" 16 1.6418205461832248e-08 4.128119712731859e-08 2.486298988912949e-08 True 0.1-0.8nm
"2021-04-08 00:20:00" 16 4.106718520802133e-09 8.056486144880637e-09 3.949767624078504e-09 False 0.05-0.4nm
"2021-04-08 00:20:00" 16 1.7928787343635122e-08 4.220412108679738e-08 2.427533374316226e-08 True 0.1-0.8nm
